Seed,DilutionRate,Species_ID,CUE,C_final
54,0.001,24,0.1470734670920097,1.6742197499434589e-12
54,0.001,25,0.19049691704032126,6.760208248948254e-09
54,0.001,26,0.20612712383029252,0.0005675895309340888
54,0.001,27,0.19732349471396896,6.558256963418464e-08
54,0.001,28,0.11062426089530833,7.429437847796078e-18
54,0.001,29,0.10863530224850602,9.023436205655545e-18
54,0.001,30,0.1409884355596718,8.778608230165406e-16
54,0.001,31,0.16150494983234523,1.2966387178475168e-11
54,0.001,32,0.10496843133614565,2.3896914321873458e-17
54,0.001,33,0.20541410211994832,1.2972121116524848e-06
54,0.001,34,0.20203928974888627,3.165611158325392e-06
54,0.001,35,0.08201839695208453,1.1697473673727828e-21
54,0.001,36,0.16340163526105883,1.5353679366786348e-11
54,0.001,37,0.15407022839619602,1.5108508989151073e-12
54,0.001,38,0.23974348838048645,0.16353202380203213
54,0.001,39,0.17027899729402335,8.072218902507105e-11
54,0.001,40,0.07908822869778155,1.4746138834365433e-19
54,0.001,41,0.14207012141357242,4.453952853900184e-12
54,0.001,42,0.09418198910335904,7.127396464368681e-19
54,0.001,43,0.20967598131826828,0.022746495397095702
54,0.001,44,0.22796400655886678,0.056985817166526405
54,0.001,45,0.2424897870358878,0.08537268776608005
54,0.001,46,0.1194076498594892,2.1096296033432963e-17
54,0.001,47,0.16248834919993302,7.415176411600115e-11
54,0.001,48,0.1323880636009146,8.82549242411254e-15
54,0.001,49,0.008814577589040244,1.038252149936812e-25
54,0.001,50,0.1559501805650224,1.0296264323101255e-12
54,0.001,51,0.21068722774968274,2.625798294839461e-05
54,0.001,52,0.2135075203591764,0.0003172897963185086
54,0.001,53,0.16582073870327665,1.7085149679490623e-11
54,0.001,54,0.14150727997104864,4.0968003675997723e-13
54,0.001,55,0.1209096741130142,1.2547793519575208e-16
54,0.001,56,0.06553101338450831,1.72825335030563e-21
54,0.001,57,0.24849071599043634,2.17449269427122
54,0.001,58,0.14342600403568895,2.7049396147012826e-11
54,0.001,59,0.023353821545109447,2.3945523940729487e-26
54,0.001,60,0.12761960481177295,3.575821393505902e-17
54,0.001,61,0.19330159045527642,1.5879353092737725e-07
54,0.001,62,0.10102580202647313,8.045517656077115e-19
54,0.001,63,0.13507877228056342,7.510605565090502e-16
54,0.001,64,0.19903627762356252,1.4749698753822421e-05
54,0.001,65,0.08223391080982598,4.3645022975305105e-21
54,0.001,66,0.14113949021713923,3.075339410827938e-13
54,0.001,67,0.1228053049255307,1.07792126008468e-16
54,0.001,68,0.12156482197636413,1.5068366116709988e-18
54,0.001,69,0.18845993701487845,2.7214048071079786e-07
54,0.001,70,0.15581505098397186,2.4078386456927705e-10
54,0.001,71,0.19172046171041696,3.5678649723946694e-08
54,0.001,72,0.16421352318210794,2.607885956220444e-09
