Community,Species,Status,CUE,C_final
3,Sp158,Extinction,0.49074375071381793,1.1696384697369678e-15
3,Sp159,Extinction,0.5045979791761676,8.770059880001084e-13
3,Sp160,Extinction,0.49410526509766617,1.6434407663434446e-14
3,Sp161,Extinction,0.5162685251909265,6.005253999418901e-11
3,Sp162,Extinction,0.4930008098782104,7.58320559290631e-15
3,Sp163,Survival,0.5574540959571753,6.35506827003805
3,Sp164,Extinction,0.5218133332015285,6.745199454436025e-09
3,Sp165,Extinction,0.42823984839525864,1.6799175913310276e-27
3,Sp166,Survival,0.5376989636454863,1.5009527473768802e-05
3,Sp167,Extinction,0.5228373894771104,6.960885289077207e-09
3,Sp168,Extinction,0.4755781438628654,1.3796438232576546e-18
3,Sp169,Extinction,0.5292460883738099,2.9390571748932517e-08
3,Sp170,Extinction,0.5284890859313706,2.2934994155732428e-08
3,Sp171,Extinction,0.5088515419714128,5.8496332397425034e-12
3,Sp172,Extinction,0.5073757225211897,1.2044011352767137e-11
3,Sp173,Extinction,0.45243520418690264,1.7693566003854227e-23
3,Sp174,Survival,0.542503193264841,0.00024263883086672898
3,Sp175,Extinction,0.5296321086732101,2.5766477904252233e-08
3,Sp176,Extinction,0.5157246953659693,7.774876239635906e-11
3,Sp177,Extinction,0.4637912141987818,9.016040543545232e-21
3,Sp178,Extinction,0.5164285304830524,6.190380593481403e-10
3,Sp179,Extinction,0.4490728702479086,3.209181318649581e-23
3,Sp180,Extinction,0.48836755022191963,7.993063392772451e-16
3,Sp181,Extinction,0.5124413255420142,9.373453920342896e-12
3,Sp182,Extinction,0.4917054368199033,3.738000988647445e-16
3,Sp183,Extinction,0.45995307505756483,4.462761913796768e-22
3,Sp184,Survival,0.5391043518433573,0.0003750207108564733
3,Sp185,Extinction,0.5357726085257386,2.7056557698305414e-06
3,Sp186,Extinction,0.503778468475248,8.982527247560643e-13
3,Sp187,Extinction,0.5129436590426689,1.3883848970467223e-11
3,Sp188,Extinction,0.47933686720842256,1.832579673907126e-17
3,Sp189,Extinction,0.5077038439113282,1.8392280798974865e-12
3,Sp190,Extinction,0.5017758752427316,2.2605692312966256e-13
3,Sp191,Extinction,0.4482616818963854,4.4126792540721085e-24
3,Sp192,Extinction,0.49112078676833887,6.269898432099881e-15
3,Sp193,Survival,0.5446315020970381,0.010373884181365476
3,Sp194,Extinction,0.4565769785433729,1.118680913268095e-22
3,Sp195,Extinction,0.5068757897070502,1.7840996828547347e-12
3,Sp196,Survival,0.5512489899401608,0.11845259978165884
3,Sp197,Extinction,0.5109436435278992,1.0039217015970624e-10
3,Sp198,Extinction,0.5084815012517198,1.1014407019795106e-11
3,Sp199,Extinction,0.49788761500943923,1.2601958753839983e-14
3,Sp200,Survival,0.5497509091819902,0.003885849575816583
