Seed,DilutionRate,Community,Species_ID,Origin,CUE,C_final,Species_Index
50,0.01,Comm2,95,Comm2,0.16110931211113452,0.0003283301931957606,911
50,0.01,Comm2,96,Comm2,0.10790875240799447,1.7389795815120792e-07,252
50,0.01,Comm2,97,Comm2,0.10382758122718248,2.53931588866621e-09,729
50,0.01,Comm2,98,Comm2,0.22167364340391296,0.5933421761009267,461
50,0.01,Comm2,99,Comm2,0.14580754518317873,1.3507679875216432e-05,613
50,0.01,Comm2,100,Comm2,0.1191947724286841,5.894334094817398e-07,349
50,0.01,Comm3,1,Comm1,0.16715153963768709,1.6753752938456102e-07,811
50,0.01,Comm3,2,Comm1,0.16791000965581857,4.080528827522498e-06,196
50,0.01,Comm3,3,Comm1,0.1483801201072565,6.735301906966306e-09,578
50,0.01,Comm3,4,Comm1,0.14343776034370365,9.653895326845394e-09,504
50,0.01,Comm3,5,Comm1,0.11828955290925669,5.729720759767904e-14,172
50,0.01,Comm3,6,Comm1,0.19184261094400007,9.49390854928916e-05,58
50,0.01,Comm3,7,Comm1,0.16020163195889303,2.937105117703921e-10,195
50,0.01,Comm3,8,Comm1,0.21225441627395147,0.0006676272380230767,57
50,0.01,Comm3,9,Comm1,0.2074738219361651,0.014684337102540412,755
50,0.01,Comm3,10,Comm1,0.08741648399798538,5.831561701476245e-17,837
50,0.01,Comm3,11,Comm1,0.18922993764863416,0.00819908300472445,722
50,0.01,Comm3,12,Comm1,0.1706003821765357,1.0387606248346777e-06,63
50,0.01,Comm3,13,Comm1,0.03265922328828842,3.4341523775742456e-22,400
50,0.01,Comm3,14,Comm1,0.16800914195811492,8.439314691245234e-08,758
50,0.01,Comm3,15,Comm1,0.16145574113275932,3.822720807078939e-08,631
50,0.01,Comm3,16,Comm1,0.11187025747780309,9.101043045562523e-16,454
50,0.01,Comm3,17,Comm1,0.17077481677114104,1.8031516070387077e-09,732
50,0.01,Comm3,18,Comm1,0.18627713682339705,6.704755138871688e-07,649
50,0.01,Comm3,19,Comm1,0.18897494635614273,9.128453797878936e-06,932
50,0.01,Comm3,20,Comm1,0.18222726097583414,1.3627369085217875e-05,924
50,0.01,Comm3,21,Comm1,0.10933741868336615,2.344144228381694e-14,534
50,0.01,Comm3,22,Comm1,0.18500561446089192,1.5547119824764964e-05,681
50,0.01,Comm3,23,Comm1,0.19457520613056284,0.00018433881293257196,236
50,0.01,Comm3,24,Comm1,0.17765907720718202,8.806601187694299e-07,933
50,0.01,Comm3,25,Comm1,0.18292523948385828,9.008140786007684e-07,919
50,0.01,Comm3,26,Comm1,0.20225131050394224,0.030700114976220157,810
50,0.01,Comm3,27,Comm1,0.16303656927315796,1.4303096848746624e-08,986
50,0.01,Comm3,28,Comm1,0.15595786348016877,8.951858086127293e-10,834
50,0.01,Comm3,29,Comm1,0.10320511374713129,2.2021928204385697e-16,878
50,0.01,Comm3,30,Comm1,0.18492001829567842,1.715937433004945e-05,638
50,0.01,Comm3,31,Comm1,0.220525410542893,0.07704356139371024,682
50,0.01,Comm3,32,Comm1,0.21859847213069447,2.918075133446603,375
50,0.01,Comm3,33,Comm1,0.11263602574843158,4.251988536104324e-14,345
50,0.01,Comm3,34,Comm1,0.17728727394305352,9.802639659466148e-07,960
50,0.01,Comm3,35,Comm1,0.15513815654547553,2.1043950025826377e-10,608
50,0.01,Comm3,36,Comm1,-0.0562393949960764,7.721193637364766e-30,322
50,0.01,Comm3,37,Comm1,0.04165380034519039,4.2123519301798725e-22,127
50,0.01,Comm3,38,Comm1,0.1629929640882766,8.883795397311548e-09,557
50,0.01,Comm3,39,Comm1,0.2588447140103201,36.71540490372502,584
50,0.01,Comm3,40,Comm1,0.08631125238747919,1.2803640144977444e-18,984
50,0.01,Comm3,41,Comm1,0.12735760560264697,1.6801439770546545e-13,290
50,0.01,Comm3,42,Comm1,0.14376689096537199,3.76196914563682e-11,843
50,0.01,Comm3,43,Comm1,0.1615614973282085,1.381310850081319e-08,233
50,0.01,Comm3,44,Comm1,0.15374797784636532,1.9482452464115227e-08,637
50,0.01,Comm3,45,Comm1,0.13791802037324935,2.299298401389671e-12,422
50,0.01,Comm3,46,Comm1,0.19846722960512023,0.011571040006222154,242
50,0.01,Comm3,47,Comm1,0.09687030287741638,2.4986531892485547e-16,343
50,0.01,Comm3,48,Comm1,0.23989379305521233,4.892737161862076,823
50,0.01,Comm3,49,Comm1,0.20659408486189676,0.1611350851378415,468
50,0.01,Comm3,50,Comm1,0.14864527153370366,2.0538271993428442e-10,175
50,0.01,Comm3,51,Comm1,-0.014115255310796377,1.540354602145935e-26,749
50,0.01,Comm3,52,Comm1,0.13459790934865704,4.9237710494081535e-14,431
50,0.01,Comm3,53,Comm1,0.04146346681116504,2.5648180897221526e-21,31
50,0.01,Comm3,54,Comm1,0.20505600018374737,0.02591153698376169,310
50,0.01,Comm3,55,Comm1,0.22881853499851956,0.305485243794335,677
50,0.01,Comm3,56,Comm1,0.15170577525842813,4.499667380269506e-10,674
50,0.01,Comm3,57,Comm1,0.1295936877607445,1.6323957009561024e-12,944
50,0.01,Comm3,58,Comm1,0.15725390207041615,8.041662318557019e-11,82
50,0.01,Comm3,59,Comm1,0.20436360012612337,0.0005288630359620274,694
50,0.01,Comm3,60,Comm1,0.023281794089054907,8.776728422102555e-24,2
50,0.01,Comm3,61,Comm1,0.10799968809335271,1.54831258841524e-14,167
50,0.01,Comm3,62,Comm1,0.10613849173267777,4.25685951227247e-14,26
50,0.01,Comm3,63,Comm1,0.18724998847497273,0.0011130508471298914,784
50,0.01,Comm3,64,Comm1,0.18618992950303145,0.0006233946092568166,241
50,0.01,Comm3,65,Comm1,0.17003882096570785,1.1607303076013745e-07,945
50,0.01,Comm3,66,Comm1,0.13451229484615357,5.519747770361726e-13,579
50,0.01,Comm3,67,Comm1,0.20223315221935576,1.8142689922858604,412
50,0.01,Comm3,68,Comm1,0.11509564937259897,1.6861483434272846e-14,453
50,0.01,Comm3,69,Comm1,0.16251634403534942,1.4948964357788832e-09,371
50,0.01,Comm3,70,Comm1,-0.07970258119271263,2.1120375246310065e-32,978
50,0.01,Comm3,71,Comm1,0.16163472923872935,1.1276302456380482e-09,687
50,0.01,Comm3,72,Comm1,0.10644290894640171,1.2226086660759229e-15,411
50,0.01,Comm3,73,Comm1,0.15376167732913829,2.558504059406428e-11,357
50,0.01,Comm3,74,Comm1,0.21249863525220553,0.1462893312170622,122
50,0.01,Comm3,75,Comm1,0.11940098245464857,1.1016757077007787e-15,393
50,0.01,Comm3,76,Comm1,0.03568077575187207,1.2106634084665415e-22,332
50,0.01,Comm3,77,Comm1,0.09471287345974896,2.0461141860886407e-15,97
